atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
93368,Lucas Veríssimo,SAN,Zagueiro,7,9.59,-1.55,5.42,5,0.8,True,False,BAH,0.514,valor_bom,4.498,3.62,0.625,43.2,neutro,2.43
79437,Roger Machado,SAO,Técnico,7,10.23,-0.12,4.65,8,2.75,True,True,MIR,-1.971,armadilha_forte,4.974,4.65,1.0,57.2,neutro,5.69
141400,Huguinho,BOT,Meia,6,3.0,0.0,0.0,0,0.0,False,True,INT,-1.396,armadilha_leve,0.0,0.0,0.0,41.0,neutro,0.0
147268,Anderson Pato,VIT,Atacante,6,3.12,0.0,1.38,4,0.0,False,False,CAP,-0.568,armadilha_leve,0.923,1.38,0.5,31.1,desfavoravel,0.29
71898,Gabriel Pires,MIR,Meia,6,5.77,0.0,3.63,6,0.0,False,False,SAO,1.357,valor_bom,3.942,2.8,0.75,24.1,desfavoravel,1.43
142260,Bernardo Zortea,GRE,Meia,6,1.11,0.0,0.5,2,0.0,False,True,CFC,1.612,valor_oculto,0.821,0.5,0.25,32.9,neutro,0.14
81720,Lingard,COR,Atacante,6,4.38,-0.1,0.45,4,2.0,True,True,VAS,-0.813,armadilha_leve,1.487,0.45,0.5,50.1,neutro,0.74
133690,Bruno Lopes,VAS,Atacante,6,1.0,0.0,0.0,0,0.0,False,False,COR,0.733,valor_bom,0.0,0.0,0.0,47.0,neutro,0.0
129661,Wendel,BAH,Meia,6,1.0,0.0,0.0,0,0.0,False,True,SAN,0.856,valor_bom,0.0,0.0,0.0,68.8,favoravel,0.0
140726,David Martins,BAH,Meia,6,0.72,0.0,-0.15,2,0.0,False,True,SAN,2.128,valor_oculto,0.691,0.0,0.25,68.8,favoravel,0.24
148125,Ryan Augusto,RBB,Lateral,6,3.78,-0.57,3.7,5,-0.1,True,True,PAL,0.295,neutro,2.531,3.1,0.625,46.8,neutro,1.48
84268,Georgemy,MIR,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,SAO,-1.184,armadilha_leve,0.0,0.0,0.0,29.9,desfavoravel,0.0
141752,Caio Valle,BOT,Meia,6,1.0,0.0,0.0,0,0.0,False,True,INT,0.856,valor_bom,0.0,0.0,0.0,41.0,neutro,0.0
115537,Marcos Victor,BAH,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,True,SAN,-1.386,armadilha_leve,0.0,0.0,0.0,58.0,neutro,0.0
141184,Walace Falcão,VAS,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,COR,0.743,valor_bom,0.0,0.0,0.0,68.1,neutro,0.0
121823,Kauê,COR,Goleiro,6,2.77,0.0,4.8,1,0.0,False,True,VAS,2.154,valor_oculto,3.44,4.8,0.125,45.0,neutro,0.39
145659,Nicolas,SAO,Lateral,6,2.79,0.0,5.0,1,0.0,False,True,MIR,0.782,valor_bom,2.156,2.0,0.125,59.1,neutro,0.32
130232,Caio Roque,BOT,Lateral,6,5.72,0.0,4.0,3,0.0,False,True,INT,0.169,neutro,3.621,2.33,0.375,55.2,neutro,1.5
107871,Wermeson,CHA,Meia,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.461,neutro,0.0,0.0,0.0,24.2,desfavoravel,0.0
122922,Wanderson Aranha,PAL,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,RBB,0.689,valor_bom,0.0,0.0,0.0,47.8,neutro,0.0
142257,Luis Eduardo,GRE,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,CFC,-0.502,armadilha_leve,0.0,0.0,0.0,37.8,neutro,0.0
95131,Gabriel Taliari,REM,Atacante,7,10.88,1.29,7.3,6,9.8,True,True,CRU,1.29,valor_bom,5.839,3.3,0.75,69.5,favoravel,6.09
