atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_A,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_FT,scout_SG,scout_V,scout_CA,scout_G,scout_I,scout_DE,scout_GS,scout_PC,scout_PP,scout_CV,scout_GC,scout_PS,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label
69012,Santos,293,CAP,1,Goleiro,7,7.84,-1.01,3.58,17,1.6,True,0.0,,,,,1.0,,5.0,,1.0,0.0,,41.0,17.0,,,,,,,True,INT,0.0,,baixa,1.6,2.11,0.589,1.0,3.682,0.049,neutro,0.47,20,Provável
103056,Gabriel Brazão,277,SAN,1,Goleiro,7,6.33,0.0,2.62,15,0.0,False,0.0,,,1.0,,2.0,,3.0,,4.0,0.0,,40.0,25.0,1.0,,,,,,True,CHA,0.0,,estavel,2.6,1.62,0.618,1.0,3.065,-0.042,neutro,0.484,17,Provável
87008,Léo Jardim,267,VAS,1,Goleiro,7,6.5,0.0,2.76,18,0.0,False,0.0,1.0,1.0,,,2.0,,1.0,,1.0,0.0,,56.0,29.0,,,,,,,True,MIR,0.0,,estavel,2.8,2.48,0.899,1.0,3.111,-0.059,neutro,0.479,18,Provável
101727,Matheuzinho,264,COR,2,Lateral,7,11.25,1.05,5.5,14,11.6,True,1.0,28.0,18.0,2.0,5.0,9.0,,5.0,,2.0,1.0,4.0,,,,,1.0,1.0,,,False,BAH,0.0,,alta,11.6,3.64,0.662,1.0,5.379,-0.062,neutro,0.478,58,Provável
96591,Renan Lodi,282,CAM,2,Lateral,7,10.09,-1.13,5.12,18,3.4,True,2.0,23.0,29.0,5.0,13.0,43.0,1.0,4.0,,2.0,0.0,6.0,,,,,1.0,,1.0,,False,PAL,0.0,,baixa,3.4,3.9,0.762,1.0,5.135,0.021,neutro,0.509,53,Provável
90768,Fabrício Bruno,283,CRU,3,Zagueiro,7,6.39,0.47,2.12,18,2.7,True,0.0,14.0,8.0,4.0,4.0,5.0,,3.0,,5.0,0.0,,,,1.0,,,,,,True,BOT,0.0,,estavel,2.7,1.62,0.764,1.0,2.622,-0.379,neutro,0.41,54,Provável
37656,Fábio,266,FLU,1,Goleiro,7,9.11,0.0,4.39,18,0.0,False,0.0,,,,,4.0,,3.0,,1.0,0.0,,67.0,23.0,1.0,,,,,,False,GRE,0.0,,estavel,4.4,3.56,0.811,1.0,4.239,0.223,neutro,0.465,21,Provável
61987,Alex Sandro,262,FLA,2,Lateral,7,9.28,0.48,3.91,13,5.9,True,0.0,14.0,17.0,,1.0,12.0,,6.0,,2.0,0.0,,,,,,,,,,True,SAO,0.0,,estavel,5.9,2.53,0.647,1.0,4.389,-0.482,neutro,0.473,61,Provável
80196,Yago Pikachu,364,REM,4,Meia,7,5.18,-0.07,2.42,18,2.0,True,1.0,7.0,8.0,5.0,4.0,15.0,,0.0,,,2.0,1.0,,,,,1.0,,1.0,,True,VIT,0.0,,estavel,2.0,1.59,0.657,1.0,2.293,-0.264,neutro,0.443,89,Provável
91101,Ronaldo,265,BAH,1,Goleiro,7,7.42,-0.24,4.7,9,2.9,True,0.0,,,,,1.0,,3.0,,2.0,0.0,,26.0,5.0,,,,,,,True,COR,0.0,,estavel,2.9,3.03,0.645,1.0,4.323,0.784,valor_bom,0.583,9,Provável
68996,Willian José,265,BAH,5,Atacante,7,8.02,-0.02,2.85,17,3.0,True,2.0,3.0,12.0,5.0,7.0,4.0,1.0,0.0,,,3.0,,,,,1.0,,,1.0,,True,COR,0.0,,estavel,3.0,0.85,0.298,1.0,3.531,-0.526,armadilha_leve,0.44,72,Provável
123717,Zé Guilherme,265,BAH,2,Lateral,2,3.68,-0.59,1.95,2,-0.1,True,0.0,3.0,3.0,,1.0,1.0,,0.0,,1.0,0.0,,,,,,,,,,True,COR,0.0,,baixa,1.9,1.95,1.0,0.25,1.926,-0.365,neutro,0.131,91,Dúvida
80313,Gilberto,293,CAP,2,Lateral,2,6.97,0.26,3.39,8,6.5,True,1.0,11.0,3.0,1.0,1.0,3.0,1.0,0.0,,,0.0,,,,,,,,,,True,INT,0.0,,estavel,6.5,2.77,0.817,1.0,3.374,-0.665,armadilha_leve,0.484,56,Dúvida
100898,Vitinho,263,BOT,2,Lateral,7,9.63,0.0,4.9,14,0.0,False,2.0,33.0,15.0,,2.0,14.0,1.0,1.0,,3.0,0.0,1.0,,,,,,,,,False,CRU,0.0,,estavel,4.9,3.97,0.81,1.0,4.997,0.022,neutro,0.519,48,Provável
109401,Erick Pulga,265,BAH,5,Atacante,7,7.37,-0.18,3.91,18,1.4,True,1.0,20.0,18.0,9.0,3.0,37.0,1.0,0.0,,2.0,1.0,10.0,,,1.0,,,,2.0,,True,COR,0.0,,estavel,1.4,3.19,0.816,1.0,4.239,0.434,neutro,0.575,33,Provável
91772,David Duarte,265,BAH,3,Zagueiro,7,6.11,-0.9,3.69,12,4.2,True,0.0,14.0,9.0,3.0,2.0,4.0,1.0,1.0,,2.0,2.0,2.0,,,,,,1.0,,,True,COR,0.0,,baixa,4.2,2.44,0.661,1.0,3.714,0.897,valor_bom,0.608,9,Provável
98022,Erick,265,BAH,4,Meia,7,6.04,-0.43,3.71,15,1.5,True,0.0,21.0,19.0,2.0,4.0,15.0,2.0,0.0,,5.0,2.0,1.0,,,,,,,,,True,COR,0.0,,estavel,1.5,3.04,0.819,1.0,3.813,1.048,valor_bom,0.631,6,Provável
101314,Ademir,265,BAH,5,Atacante,7,7.04,1.46,2.29,18,13.2,True,1.0,9.0,16.0,5.0,4.0,21.0,,0.0,,2.0,1.0,3.0,,,,,,,2.0,,True,COR,0.0,,alta,13.2,1.57,0.686,1.0,3.117,-0.582,armadilha_leve,0.443,71,Provável
104783,Acevedo,265,BAH,4,Meia,7,7.16,0.61,4.63,16,3.7,True,0.0,42.0,37.0,6.0,6.0,20.0,2.0,0.0,,6.0,0.0,,,,,,,,,,True,COR,0.0,,alta,3.7,4.63,1.0,1.0,4.422,1.292,valor_bom,0.618,8,Provável
106822,Rodrigo Nestor,265,BAH,4,Meia,7,6.33,1.83,2.34,11,14.1,True,1.0,9.0,11.0,2.0,12.0,3.0,,0.0,,3.0,0.0,,,,,,,,,,True,COR,0.0,,alta,14.1,1.89,0.808,1.0,3.041,0.066,neutro,0.48,69,Provável
98484,Kanu,265,BAH,3,Zagueiro,2,3.68,0.0,0.83,3,0.0,False,0.0,,3.0,,,1.0,,1.0,,2.0,0.0,1.0,,,,,,,,,True,COR,0.0,,estavel,0.8,0.0,0.0,0.375,1.343,-0.478,neutro,0.137,78,Dúvida
97341,Rogério Ceni,265,BAH,6,Técnico,7,10.53,-0.22,5.48,18,4.75,True,0.0,,,,,,,0.0,7.0,,0.0,,,,,,,,,,True,COR,0.0,,estavel,4.8,5.48,1.0,1.0,5.632,0.192,neutro,0.535,12,Provável
72493,Alex Telles,263,BOT,2,Lateral,7,9.08,0.0,3.72,14,0.0,False,2.0,16.0,18.0,,5.0,5.0,,1.0,,3.0,2.0,,,,1.0,,,,,,False,CRU,0.0,,estavel,3.7,1.93,0.519,1.0,4.246,-0.561,armadilha_leve,0.468,63,Provável
