atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
92171,Arthur Cabral,BOT,Atacante,7,9.12,0.13,4.93,10,2.4,True,False,CAM,0.664,valor_bom,4.876,2.03,1.0,63.8,neutro,6.22,0.9,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
107859,Fintelman,VIT,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.497,neutro,0.0,0.0,0.0,32.2,desfavoravel,0.0,0.275,-74.6,1.3,0.722,0.852,1.244,0.6,,
104758,Enzo Díaz,SAO,Lateral,6,8.48,-0.55,4.06,10,0.2,True,False,COR,-0.015,neutro,4.648,3.26,1.0,63.0,neutro,5.86,0.95,0.0,1.179,1.508,0.56,0.646,0.5,,
106593,Villalba,CRU,Zagueiro,2,6.84,0.0,2.31,8,0.0,False,False,BAH,-0.13,neutro,3.068,1.56,1.0,38.1,desfavoravel,2.34,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
68685,Alan Patrick,INT,Meia,6,8.11,0.0,4.94,11,0.0,False,False,CFC,1.159,valor_bom,4.608,3.58,1.0,50.1,neutro,4.62,0.175,5.6,1.2,0.8,1.05,1.4,0.6,0.252,
104502,Christian,CRU,Meia,7,9.87,0.95,6.2,14,7.2,True,False,BAH,1.569,valor_oculto,5.455,4.06,1.0,52.9,neutro,5.77,0.5,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
97810,Erick,VIT,Atacante,3,10.04,1.98,4.75,12,14.0,True,False,FLU,0.228,neutro,4.773,2.17,1.0,48.4,neutro,4.62,0.5,-74.6,1.3,0.722,0.852,1.244,0.6,,
105949,Rochet,INT,Goleiro,7,7.26,0.0,3.68,10,0.0,False,False,CFC,0.373,neutro,3.926,2.18,1.0,67.5,neutro,5.3,0.9,5.6,1.2,0.8,1.05,1.4,0.6,0.252,
68928,Rafael,SAO,Goleiro,7,8.59,-0.08,4.2,14,5.0,True,False,COR,0.253,neutro,4.212,2.77,1.0,62.9,neutro,5.3,0.95,0.0,1.179,1.508,0.56,0.646,0.5,,
103056,Gabriel Brazão,SAN,Goleiro,3,5.47,0.33,2.6,12,0.6,True,True,RBB,0.019,neutro,2.809,1.35,1.0,49.7,neutro,2.79,0.625,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
61987,Alex Sandro,FLA,Lateral,3,9.5,-0.56,4.28,10,3.2,True,False,GRE,-0.257,neutro,4.77,2.78,1.0,39.6,desfavoravel,3.78,0.125,-15.9,1.3,0.867,0.35,0.35,0.85,,
69012,Santos,CAP,Goleiro,7,8.58,0.79,3.53,12,5.0,True,False,VAS,-0.084,neutro,3.812,1.86,1.0,41.3,neutro,3.15,0.525,-39.7,0.84,0.747,0.84,0.933,0.55,0.46,
72294,Everson,CAM,Goleiro,7,9.08,-0.02,4.17,14,0.8,True,True,BOT,0.116,neutro,4.193,2.74,1.0,32.2,neutro,2.7,0.025,18.2,0.824,1.26,1.144,0.8,0.4,0.462,
63007,Neymar,SAN,Meia,7,19.84,0.0,8.82,6,0.0,False,True,RBB,0.243,neutro,6.152,5.49,0.75,42.7,neutro,3.94,0.25,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
96591,Renan Lodi,CAM,Lateral,7,10.54,0.77,4.77,13,6.2,True,True,BOT,-0.351,neutro,5.003,3.31,1.0,31.2,neutro,3.12,0.025,18.2,0.824,1.26,1.144,0.8,0.4,0.462,
77485,Carrillo,COR,Meia,7,4.64,0.0,1.43,9,0.0,False,True,SAO,-0.721,armadilha_leve,1.653,1.43,1.0,39.2,neutro,1.3,0.25,0.0,0.56,0.646,1.179,1.508,0.425,0.449,
101727,Matheuzinho,COR,Lateral,7,9.42,0.0,3.91,9,0.0,False,True,SAO,-0.408,neutro,4.603,2.91,1.0,52.3,neutro,4.81,0.625,0.0,0.56,0.646,1.179,1.508,0.425,0.449,
87008,Léo Jardim,VAS,Goleiro,7,6.08,-0.31,2.11,14,1.9,True,True,CAP,-0.138,neutro,2.882,2.11,1.0,69.6,neutro,4.01,0.725,39.7,0.84,0.933,0.84,0.747,0.425,0.476,
100898,Vitinho,BOT,Lateral,3,9.9,-0.06,5.39,12,3.0,True,False,CAM,0.269,neutro,5.387,4.31,1.0,50.2,neutro,5.41,0.6,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
105436,Carrascal,FLA,Meia,7,9.54,0.0,4.19,9,0.0,False,False,GRE,0.169,neutro,4.172,3.08,1.0,44.3,neutro,3.7,0.35,-15.9,1.3,0.867,0.35,0.35,0.85,,
99274,Alexander Barboza,BOT,Zagueiro,2,10.18,0.0,4.91,9,0.0,False,False,CAM,0.311,neutro,4.4,2.8,1.0,50.6,neutro,4.45,0.6,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
80313,Gilberto,BAH,Lateral,6,5.98,0.0,2.28,5,0.0,False,True,CRU,-0.689,armadilha_leve,2.98,1.28,0.625,60.0,neutro,2.24,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
91772,David Duarte,BAH,Zagueiro,7,6.03,0.12,3.61,7,3.5,True,True,CRU,0.961,valor_bom,3.725,2.32,0.875,60.5,favoravel,3.94,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
80196,Yago Pikachu,REM,Meia,7,4.77,-0.62,1.81,13,0.0,True,True,PAL,-0.57,armadilha_leve,1.846,1.43,1.0,19.0,neutro,0.7,0.05,-33.4,0.933,0.817,0.672,0.509,0.425,0.23,
113397,Cristian Olivera,BAH,Atacante,7,7.93,0.06,4.78,13,2.2,True,True,CRU,1.018,valor_bom,4.791,3.78,1.0,72.3,favoravel,6.93,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
90768,Fabrício Bruno,CRU,Zagueiro,7,6.74,-0.47,2.36,13,1.2,True,False,BAH,-0.263,neutro,2.918,1.67,1.0,38.1,desfavoravel,2.22,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
91101,Ronaldo,BAH,Goleiro,5,7.57,0.0,5.03,7,0.0,False,True,CRU,0.86,valor_bom,4.605,2.89,0.875,60.1,favoravel,4.84,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
37656,Fábio,FLU,Goleiro,7,10.17,0.84,4.52,14,7.1,True,True,VIT,0.055,neutro,4.416,3.45,1.0,71.3,favoravel,6.3,0.85,74.6,0.852,1.244,1.3,0.722,0.5,0.489,
85425,João Paulo,BAH,Goleiro,6,6.19,0.0,1.7,1,0.0,False,True,CRU,0.733,valor_bom,3.952,1.7,0.125,60.1,favoravel,0.59,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
109401,Erick Pulga,BAH,Atacante,7,7.95,-0.13,3.75,13,5.3,True,True,CRU,0.263,neutro,4.153,3.37,1.0,72.3,favoravel,6.01,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
123717,Zé Guilherme,BAH,Lateral,6,3.0,0.0,0.0,0,0.0,False,True,CRU,-1.856,armadilha_forte,0.0,0.0,0.0,60.0,neutro,0.0,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
98022,Erick,BAH,Meia,7,8.1,2.47,4.22,11,15.5,True,True,CRU,0.675,valor_bom,4.191,3.31,1.0,73.2,favoravel,6.14,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
98484,Kanu,BAH,Zagueiro,6,4.67,0.0,3.4,1,0.0,False,True,CRU,0.266,neutro,2.546,0.4,0.125,60.5,favoravel,0.39,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
104783,Acevedo,BAH,Meia,7,7.95,0.45,5.01,12,8.6,True,True,CRU,1.285,valor_bom,4.666,5.01,1.0,73.2,favoravel,6.83,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
68996,Willian José,BAH,Atacante,7,8.38,-0.91,2.87,12,1.7,True,True,CRU,-0.501,armadilha_leve,3.645,0.45,1.0,72.3,neutro,5.27,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
97868,Iago,BAH,Lateral,6,5.57,0.0,5.0,1,0.0,False,True,CRU,0.189,neutro,3.593,2.0,0.125,60.0,neutro,0.54,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
122994,Victor Nascimento,BAH,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,CRU,0.489,neutro,0.0,0.0,0.0,60.1,favoravel,0.0,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
105373,Gabriel Xavier,BAH,Zagueiro,6,6.36,0.0,3.7,6,0.0,False,True,CRU,0.874,valor_bom,3.772,2.2,0.75,60.5,favoravel,3.42,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
123360,Cauly,SAO,Meia,7,6.79,0.21,2.95,10,4.6,True,False,COR,0.359,neutro,3.484,2.45,1.0,45.7,neutro,3.18,0.4,0.0,1.179,1.508,0.56,0.646,0.5,,
107173,Michel Araújo,BAH,Meia,6,2.92,-0.01,0.79,10,2.1,True,True,CRU,-0.385,neutro,0.917,0.79,1.0,73.2,neutro,1.34,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
98517,Jean Lucas,BAH,Meia,7,10.78,1.12,6.01,13,9.2,True,True,CRU,1.125,valor_bom,5.302,4.47,1.0,73.2,favoravel,7.76,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
105990,Santiago Mingo,BAH,Zagueiro,7,4.24,-0.23,1.86,13,0.0,True,True,CRU,-0.026,neutro,2.081,0.94,1.0,60.5,neutro,2.52,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
101314,Ademir,BAH,Atacante,6,5.34,-0.07,1.6,13,0.0,True,True,CRU,-1.239,armadilha_leve,1.801,1.6,1.0,72.3,neutro,2.6,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
97341,Rogério Ceni,BAH,Técnico,7,11.2,0.38,5.79,13,6.69,True,True,CRU,0.09,neutro,5.911,5.79,1.0,71.6,favoravel,8.46,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
106822,Rodrigo Nestor,BAH,Meia,6,3.98,-0.22,0.62,7,-0.3,True,True,CRU,-0.72,armadilha_leve,1.304,0.62,0.875,73.2,neutro,1.67,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
106323,Caio Alexandre,BAH,Meia,5,4.4,0.0,1.24,10,0.0,False,True,CRU,-0.716,armadilha_leve,1.535,1.24,1.0,73.2,neutro,2.25,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
145379,Kauê Furquim,BAH,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,CRU,-0.633,armadilha_leve,0.0,0.0,0.0,72.3,neutro,0.0,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
141419,Fredi Lippert,BAH,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,CRU,-0.704,armadilha_leve,0.0,0.0,0.0,60.5,neutro,0.0,0.725,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
111829,Kayky,INT,Atacante,6,3.63,-0.35,1.27,6,0.0,True,False,CFC,-0.146,neutro,1.761,1.27,0.75,48.5,neutro,1.28,0.175,5.6,1.2,0.8,1.05,1.4,0.6,0.252,
68806,Neto,BOT,Goleiro,7,8.63,1.23,3.85,6,7.6,True,False,CAM,0.122,neutro,4.069,3.02,0.75,50.6,neutro,3.09,0.6,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
136955,Sanabria,BAH,Atacante,6,5.64,-0.61,2.48,7,-1.1,True,True,CRU,-0.831,armadilha_leve,2.293,0.62,0.875,72.3,neutro,2.9,0.95,27.8,0.958,1.462,1.089,0.933,0.425,0.527,0.501
72493,Alex Telles,BOT,Lateral,7,10.15,0.88,4.48,11,5.8,True,False,CAM,-0.379,neutro,4.86,2.21,1.0,50.2,neutro,4.88,0.6,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
