atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_CA,scout_DS,scout_FC,scout_FF,scout_FS,scout_A,scout_FD,scout_SG,scout_G,scout_I,scout_PP,scout_PS,scout_PC,scout_GC,scout_FT,scout_DE,scout_GS,scout_CV,scout_V,scout_DP,mandante,adversario,tendencia,custo_beneficio,cb_rank,armadilha,status_label
103445,Kaio Jorge,283,CRU,5,Atacante,7,13.32,0.66,5.3,5,8.8,,,2.0,8.0,3.0,,3.0,,2.0,4.0,,,,,,,,,,,False,SAO,alta,0.398,78,False,Provável
118655,Saldivia,267,VAS,3,Zagueiro,7,5.07,-0.4,2.13,6,2.0,1.0,10.0,5.0,1.0,5.0,,,,,,,,,1.0,,,,,,,True,BOT,estavel,0.42,60,True,Provável
101908,Willian Machado,2305,MIR,3,Zagueiro,7,4.4,0.14,2.06,7,2.0,1.0,7.0,3.0,2.0,6.0,,1.0,,,,,,,,,,,,,,True,RBB,estavel,0.468,52,False,Provável
114802,Vitor Roque,275,PAL,5,Atacante,2,17.99,0.0,8.72,6,0.0,1.0,8.0,6.0,4.0,17.0,,3.0,,3.0,2.0,,1.0,,,1.0,,,,,,False,BAH,estavel,0.485,55,False,Dúvida
108713,Galeano,2305,MIR,5,Atacante,7,5.03,0.14,1.25,6,2.5,,1.0,1.0,1.0,4.0,,3.0,,,1.0,,,,,,,,,,,True,RBB,estavel,0.249,107,True,Provável
83433,Patrick,364,REM,4,Meia,7,3.54,0.0,1.27,6,0.0,,4.0,2.0,1.0,5.0,,,,,1.0,,,1.0,,,,,,,,False,GRE,estavel,0.359,114,False,Provável
51413,Walter,2305,MIR,1,Goleiro,7,5.13,-1.01,2.93,7,-0.1,,,,,,,,,,,,,1.0,,,25.0,11.0,,,,True,RBB,baixa,0.571,11,False,Provável
70666,Marllon,364,REM,3,Zagueiro,7,4.86,-0.34,2.53,9,-0.3,2.0,15.0,7.0,1.0,7.0,,,,,,,,,,,,,,,,False,GRE,estavel,0.521,40,False,Provável
130048,Noriega,284,GRE,3,Zagueiro,7,7.42,-1.0,5.0,7,1.2,1.0,11.0,12.0,2.0,7.0,1.0,,1.0,1.0,,,,,,,,,,,,True,REM,baixa,0.674,15,False,Provável
93988,Breno Lopes,294,CFC,5,Atacante,2,8.26,0.0,4.32,8,0.0,2.0,4.0,6.0,2.0,10.0,,2.0,,3.0,6.0,,,,,,,,,,,True,FLU,estavel,0.523,46,False,Dúvida
106708,Igor Formiga,2305,MIR,2,Lateral,7,8.96,1.82,5.33,7,14.0,,12.0,7.0,4.0,2.0,,1.0,,2.0,,,,,,,,,,,,True,RBB,alta,0.595,47,False,Provável
106302,Preciado,282,CAM,2,Lateral,2,7.95,0.0,4.58,6,0.0,1.0,9.0,8.0,3.0,10.0,,,2.0,,,,,,,,,,,,,True,CAP,estavel,0.576,48,False,Dúvida
89256,Gerson,283,CRU,4,Meia,7,8.2,-0.13,2.66,8,3.8,2.0,10.0,8.0,1.0,13.0,,3.0,,,2.0,,,,,,,,,,,False,SAO,estavel,0.324,126,False,Provável
116034,Victor Hugo,282,CAM,4,Meia,7,6.36,-0.49,3.79,9,0.5,,5.0,1.0,1.0,3.0,1.0,3.0,,2.0,,,,,,,,,,,,True,CAP,estavel,0.596,37,False,Provável
105089,Tetê,284,GRE,5,Atacante,2,9.53,-0.58,3.91,7,0.5,,5.0,2.0,6.0,7.0,,1.0,,1.0,,,,,,1.0,,,,,,True,REM,baixa,0.41,75,False,Dúvida
69208,Gabriel Paulista,264,COR,3,Zagueiro,7,9.43,0.06,4.7,6,3.6,,7.0,7.0,6.0,4.0,,,1.0,1.0,,,,,,,,,,,,True,INT,estavel,0.498,46,False,Provável
71536,Luiz Gustavo,293,CAP,4,Meia,2,5.99,0.05,3.17,6,2.5,1.0,6.0,5.0,,9.0,,,,1.0,,,,,,,,,,,,False,CAM,estavel,0.529,55,False,Dúvida
113125,Picco,364,REM,4,Meia,7,7.96,1.72,4.56,8,10.6,1.0,19.0,13.0,4.0,1.0,,1.0,,1.0,,,,,,,,,,,,False,GRE,alta,0.573,43,False,Provável
145404,Arthur,275,PAL,2,Lateral,7,2.03,-0.3,2.02,5,0.5,,2.0,2.0,,3.0,,1.0,1.0,,,,,,,,,,,,,False,BAH,estavel,0.995,8,False,Provável
101729,Fabinho,294,CFC,5,Atacante,2,1.64,-0.14,-0.04,5,0.5,1.0,,4.0,1.0,,,1.0,,,,,,,,,,,,,,True,FLU,estavel,-0.024,179,False,Dúvida
107093,Luciano Juba,265,BAH,2,Lateral,7,12.62,3.21,8.06,8,18.0,1.0,7.0,5.0,4.0,7.0,1.0,4.0,4.0,3.0,,1.0,,,,,,,,,,True,PAL,alta,0.639,36,False,Provável
94930,Lucas Paquetá,262,FLA,4,Meia,7,14.09,-2.92,6.07,6,-0.2,1.0,12.0,11.0,5.0,17.0,,2.0,,1.0,2.0,,,,,,,,,,,True,SAN,baixa,0.431,86,False,Provável
101715,Alerrandro,285,INT,5,Atacante,2,7.3,1.55,3.0,8,9.7,,4.0,3.0,6.0,8.0,,2.0,,1.0,3.0,,,,,,,,,,,False,COR,alta,0.411,74,False,Dúvida
99815,Arias,275,PAL,4,Meia,7,15.59,-1.11,8.47,6,4.7,2.0,19.0,9.0,5.0,7.0,,3.0,,2.0,1.0,,,,,,,,,,,False,BAH,baixa,0.543,50,False,Provável
116065,Cuiabano,267,VAS,2,Lateral,2,14.32,0.0,10.34,5,0.0,1.0,13.0,5.0,2.0,3.0,4.0,3.0,,1.0,,,,,,,,,,,,True,BOT,estavel,0.722,21,False,Dúvida
108162,Nardoni,284,GRE,4,Meia,7,7.6,0.16,2.7,6,3.4,1.0,5.0,7.0,1.0,6.0,,,,1.0,,,,,,,,,,,,True,REM,estavel,0.355,117,False,Provável
109987,Medina,263,BOT,4,Meia,7,6.17,-0.29,0.27,3,1.2,1.0,1.0,5.0,1.0,6.0,,,,,,,1.0,,,,,,1.0,,,False,VAS,estavel,0.044,168,True,Provável
104666,Moisés,277,SAN,5,Atacante,7,6.32,1.37,3.6,5,8.9,,1.0,3.0,,2.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,False,FLA,alta,0.57,36,False,Provável
97899,Matheus Bahia,285,INT,2,Lateral,2,6.77,0.0,2.1,3,0.0,1.0,2.0,4.0,,1.0,,,1.0,,,,,,,,,,,,,False,COR,estavel,0.31,79,True,Dúvida
101807,Oliva,277,SAN,4,Meia,7,7.16,-1.42,4.62,4,0.1,,11.0,7.0,2.0,5.0,,,,,,,,,,,,,,,,False,FLA,baixa,0.645,26,False,Provável
105048,Jajá,364,REM,5,Atacante,7,5.36,-0.43,4.68,6,4.7,1.0,9.0,4.0,4.0,9.0,,1.0,,1.0,1.0,,,,,,,,,,,False,GRE,estavel,0.873,2,False,Provável
92747,Eduardo Domínguez,282,CAM,6,Técnico,7,12.29,1.55,6.89,5,12.76,,,,,,,,,,,,,,,,,,,3.0,,True,CAP,alta,0.561,12,False,Provável
100804,Tchamba,364,REM,3,Zagueiro,7,4.38,-0.98,2.2,5,0.0,,8.0,5.0,,1.0,,,,,,,,,,,,,,,,False,GRE,baixa,0.502,45,False,Provável
126189,Tomás Pérez,282,CAM,4,Meia,7,4.74,-0.62,2.38,4,2.0,1.0,6.0,5.0,1.0,2.0,,1.0,,,,,,,,,,,,,,True,CAP,baixa,0.502,63,False,Provável
132553,Jemmes,266,FLU,3,Zagueiro,7,6.82,-0.43,3.78,8,2.0,2.0,11.0,4.0,,4.0,,,3.0,,,,,,,,,,,,,False,CFC,estavel,0.554,33,False,Provável
88963,Leonardo Jardim,262,FLA,6,Técnico,7,12.7,-1.44,7.15,5,1.57,,,,,,,,,,,,,,,,,,,3.0,,True,SAN,baixa,0.563,10,False,Provável
81720,Lingard,264,COR,5,Atacante,2,6.22,0.22,2.0,1,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,True,INT,estavel,0.322,97,False,Dúvida
37457,Léo Condé,364,REM,6,Técnico,7,7.46,-0.7,4.1,5,4.28,,,,,,,,,,,,,,,,,,,1.0,,False,GRE,baixa,0.55,14,False,Provável
79437,Roger Machado,276,SAO,6,Técnico,7,10.73,-0.7,5.17,5,4.33,,,,,,,,,,,,,,,,,,,2.0,,True,CRU,baixa,0.482,18,True,Provável
124424,Rodrigo Castillo,266,FLU,5,Atacante,2,8.54,0.06,4.56,5,8.5,,2.0,2.0,1.0,5.0,,1.0,,2.0,1.0,,,,,,,,,,,False,CFC,estavel,0.534,43,False,Dúvida
41929,Renato Gaúcho,267,VAS,6,Técnico,7,10.2,-0.77,5.73,5,3.99,,,,,,,,,,,,,,,,,,,3.0,,True,BOT,baixa,0.562,11,False,Provável
42411,Cuca,277,SAN,6,Técnico,7,10.64,1.28,6.59,2,8.54,,,,,,,,,,,,,,,,,,,1.0,,False,FLA,alta,0.619,6,False,Provável
95131,Gabriel Taliari,364,REM,5,Atacante,7,9.61,-1.3,8.13,3,4.2,,1.0,4.0,3.0,7.0,,2.0,,2.0,2.0,,,,,,,,,,,False,GRE,baixa,0.846,4,False,Provável
107256,Zé Vitor,287,VIT,4,Meia,7,4.67,1.67,5.0,1,5.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,False,CHA,alta,1.071,4,False,Provável
127273,Artur Jorge,283,CRU,6,Técnico,7,12.66,2.9,9.78,1,9.78,,,,,,,,,,,,,,,,,,,1.0,,False,SAO,alta,0.773,1,False,Provável
123016,David Braga,364,REM,4,Meia,7,3.58,0.58,2.2,1,2.2,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,False,GRE,alta,0.615,30,False,Provável
101820,Mayk,364,REM,2,Lateral,7,6.02,1.02,3.8,1,3.8,,2.0,,1.0,,,,,,,,,,,,,,,,,False,GRE,alta,0.631,39,False,Provável
147850,Rodrigo Bellão,263,BOT,6,Técnico,7,10.76,1.58,6.24,1,6.24,,,,,,,,,,,,,,,,,,,1.0,,False,VAS,alta,0.58,9,False,Provável
101254,Alef Manga,364,REM,5,Atacante,7,8.45,-0.55,5.7,9,2.4,,4.0,5.0,10.0,6.0,3.0,5.0,,2.0,12.0,,,,,,,,,,,False,GRE,baixa,0.675,15,False,Provável
106593,Villalba,283,CRU,3,Zagueiro,7,7.96,0.67,2.88,6,8.2,,5.0,8.0,1.0,3.0,,,2.0,,1.0,,,,,,,,,,,False,SAO,alta,0.362,67,False,Provável
93368,Lucas Veríssimo,277,SAN,3,Zagueiro,7,11.5,2.14,8.3,2,11.5,,4.0,2.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,False,FLA,alta,0.722,9,False,Provável
109573,Martinelli,266,FLU,4,Meia,7,6.76,0.77,2.56,9,7.5,2.0,7.0,12.0,6.0,7.0,1.0,4.0,,,,,,,,,,,,,,False,CFC,alta,0.379,109,False,Provável
97810,Erick,287,VIT,5,Atacante,7,8.33,-0.3,4.39,7,2.7,1.0,1.0,3.0,3.0,12.0,2.0,4.0,,1.0,1.0,,,,,,,,,,,False,CHA,estavel,0.527,44,False,Provável
92171,Arthur Cabral,263,BOT,5,Atacante,2,9.95,1.31,5.6,5,9.4,,1.0,8.0,4.0,7.0,1.0,1.0,,2.0,,,,,,,,,,,,False,VAS,alta,0.563,40,False,Dúvida
68685,Alan Patrick,285,INT,4,Meia,7,7.82,-1.45,4.78,8,2.5,,6.0,5.0,7.0,16.0,,1.0,,2.0,,,,,,,,,,,,False,COR,baixa,0.611,32,False,Provável
104758,Enzo Díaz,276,SAO,2,Lateral,2,9.21,0.0,5.07,6,0.0,3.0,14.0,12.0,2.0,9.0,1.0,,1.0,,1.0,,,,,,,,,,,True,CRU,estavel,0.55,54,False,Dúvida
103056,Gabriel Brazão,277,SAN,1,Goleiro,7,6.97,0.62,3.29,8,10.2,2.0,,,,1.0,,1.0,2.0,,,,,1.0,,,22.0,11.0,,,,False,FLA,alta,0.472,21,False,Provável
105949,Rochet,285,INT,1,Goleiro,7,6.59,0.0,2.8,8,0.0,,2.0,,,,,,1.0,,,,,,,,18.0,9.0,,,,False,COR,estavel,0.425,23,False,Provável
104502,Christian,283,CRU,4,Meia,7,9.73,2.25,5.23,9,14.9,,10.0,9.0,4.0,17.0,1.0,2.0,,2.0,4.0,,,,,,,,,,,False,SAO,alta,0.538,52,False,Provável
68928,Rafael,276,SAO,1,Goleiro,7,8.17,0.2,3.95,9,3.4,,,,,1.0,,,3.0,,,,,,,,20.0,6.0,,,,True,CRU,estavel,0.483,19,False,Provável
96591,Renan Lodi,282,CAM,2,Lateral,7,11.32,1.2,5.57,9,9.5,2.0,13.0,17.0,4.0,24.0,1.0,,3.0,,5.0,,,,,1.0,,,,,,True,CAP,alta,0.492,62,False,Provável
69012,Santos,293,CAP,1,Goleiro,7,8.4,-1.39,4.23,7,-0.4,,,,,,,,2.0,,,,,,,,22.0,9.0,,,,False,CAM,baixa,0.504,16,False,Provável
72294,Everson,282,CAM,1,Goleiro,7,11.34,1.05,6.31,9,10.2,,,,,2.0,1.0,,3.0,,,,,,,,36.0,11.0,,,,True,CAP,alta,0.556,12,False,Provável
87008,Léo Jardim,267,VAS,1,Goleiro,7,6.44,0.05,1.9,9,4.2,,1.0,,,2.0,,,,,,,,,,,22.0,14.0,,,,True,BOT,estavel,0.295,27,False,Provável
100898,Vitinho,263,BOT,2,Lateral,7,10.38,0.89,5.59,7,8.2,1.0,20.0,9.0,1.0,8.0,,,1.0,,,,,,,1.0,,,,,,False,VAS,alta,0.539,56,False,Provável
37656,Fábio,266,FLU,1,Goleiro,7,10.06,-0.85,4.89,9,4.7,1.0,,,,4.0,,,3.0,,,,,1.0,,,30.0,10.0,,,,False,CFC,baixa,0.486,18,False,Provável
99274,Alexander Barboza,263,BOT,3,Zagueiro,7,11.79,0.0,5.76,5,0.0,2.0,9.0,9.0,,,2.0,,1.0,1.0,,,,,,,,,1.0,,,False,VAS,estavel,0.489,48,False,Provável
101727,Matheuzinho,264,COR,2,Lateral,7,10.11,0.11,4.37,7,5.0,1.0,13.0,9.0,2.0,7.0,,,2.0,,3.0,,,,,,,,,,,True,INT,estavel,0.432,69,False,Provável
85425,João Paulo,265,BAH,1,Goleiro,7,6.19,0.0,1.7,1,0.0,,,,,1.0,,,,,,,,,,,4.0,4.0,,,,True,PAL,estavel,0.275,28,False,Provável
91772,David Duarte,265,BAH,3,Zagueiro,7,5.68,0.67,3.37,3,4.9,1.0,5.0,4.0,,,,,1.0,,2.0,,,,,,,,,,,True,PAL,alta,0.593,27,False,Provável
90768,Fabrício Bruno,283,CRU,3,Zagueiro,7,8.04,0.73,2.64,9,9.2,2.0,6.0,3.0,4.0,4.0,,2.0,2.0,,,,,,,,,,,,,False,SAO,alta,0.328,69,False,Provável
109401,Erick Pulga,265,BAH,5,Atacante,7,7.07,-0.17,2.75,8,2.6,1.0,8.0,7.0,2.0,15.0,,2.0,,,4.0,,2.0,,,,,,,,,True,PAL,estavel,0.389,81,False,Provável
113397,Cristian Olivera,265,BAH,5,Atacante,7,9.18,1.14,5.84,8,11.0,1.0,12.0,8.0,3.0,20.0,1.0,6.0,,1.0,5.0,,,,,,,,,,,True,PAL,alta,0.636,25,False,Provável
98517,Jean Lucas,265,BAH,4,Meia,7,10.04,0.0,5.97,8,6.2,1.0,10.0,10.0,5.0,9.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,True,PAL,estavel,0.595,38,False,Provável
104783,Acevedo,265,BAH,4,Meia,7,6.89,0.89,4.23,7,7.1,3.0,20.0,19.0,1.0,9.0,,,,,,,,,,1.0,,,,,,True,PAL,alta,0.614,31,False,Provável
123360,Cauly,276,SAO,4,Meia,2,7.01,-0.01,3.35,6,4.2,,6.0,7.0,,8.0,,1.0,,1.0,,,,,,,,,,,,True,CRU,estavel,0.478,73,False,Dúvida
106323,Caio Alexandre,265,BAH,4,Meia,7,4.8,-0.05,1.7,6,2.1,1.0,6.0,6.0,,8.0,,,,,,,,,,,,,,,,True,PAL,estavel,0.354,118,False,Provável
105990,Santiago Mingo,265,BAH,3,Zagueiro,7,5.74,0.94,3.02,8,7.0,1.0,3.0,4.0,,4.0,,,4.0,,1.0,,,,,,,,,,,True,PAL,alta,0.526,39,False,Provável
72493,Alex Telles,263,BOT,2,Lateral,7,10.88,-0.18,5.37,7,7.9,1.0,12.0,9.0,1.0,5.0,,,1.0,2.0,,,,1.0,,,,,,,,False,VAS,estavel,0.494,61,False,Provável
97341,Rogério Ceni,265,BAH,6,Técnico,7,11.64,0.92,6.31,8,9.96,,,,,,,,,,,,,,,,,,,5.0,,True,PAL,alta,0.542,16,False,Provável
98280,Bastos,263,BOT,3,Zagueiro,7,4.63,-0.2,0.53,3,1.7,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,False,VAS,estavel,0.114,76,False,Provável
40990,Dorival Júnior,264,COR,6,Técnico,7,10.03,-0.41,4.72,8,3.07,,,,,,,,,,,,,,,,,,,1.0,,True,INT,estavel,0.471,19,False,Provável
107231,Danilo,263,BOT,4,Meia,7,15.85,0.0,10.02,6,0.0,,7.0,5.0,2.0,3.0,1.0,,,5.0,,,,,,1.0,,,,,,False,VAS,estavel,0.632,28,False,Provável
104191,Raul,263,BOT,1,Goleiro,7,4.16,-0.65,3.0,4,1.1,,,,,1.0,,,,,,,,,,,15.0,8.0,,,,False,VAS,baixa,0.721,5,False,Provável
105214,Santi Rodríguez,263,BOT,4,Meia,7,6.56,-0.77,2.52,5,1.7,1.0,7.0,3.0,,8.0,,,,,,,,,,,,,,,,False,VAS,baixa,0.384,107,False,Provável
142890,Montoro,263,BOT,4,Meia,7,8.1,-0.94,3.92,6,1.3,1.0,3.0,6.0,2.0,12.0,2.0,1.0,,,,,,,,1.0,,,,,,False,VAS,baixa,0.484,70,False,Provável
98672,Savarino,266,FLU,4,Meia,7,9.26,-0.59,4.88,7,4.0,1.0,4.0,5.0,7.0,7.0,2.0,5.0,,,4.0,,,,,2.0,,,,,,False,CFC,baixa,0.527,56,False,Provável
95799,Artur,276,SAO,5,Atacante,7,7.87,-0.62,3.84,5,2.4,,2.0,2.0,2.0,5.0,,4.0,,1.0,1.0,,,,,,,,,,,True,CRU,baixa,0.488,54,False,Provável
39850,Vagner Mancini,280,RBB,6,Técnico,7,8.77,1.2,5.25,9,11.12,,,,,,,,,,,,,,,,,,,3.0,,False,MIR,alta,0.599,8,False,Provável
78605,Gabriel,280,RBB,4,Meia,7,5.97,2.03,2.63,7,11.0,4.0,7.0,7.0,2.0,6.0,,2.0,,1.0,,,,1.0,,,,,,,,False,MIR,alta,0.441,84,False,Provável
70360,Eduardo Sasha,280,RBB,5,Atacante,2,5.39,0.0,1.95,7,0.0,,3.0,1.0,3.0,5.0,,4.0,,,3.0,,,,,,,,,,,False,MIR,estavel,0.362,89,False,Dúvida
94067,Matheus Fernandes,280,RBB,4,Meia,7,4.76,0.49,2.46,7,4.5,2.0,9.0,7.0,8.0,3.0,,,,,1.0,,,,,,,,,,,False,MIR,estavel,0.517,58,False,Provável
105213,Sant Anna,280,RBB,2,Lateral,7,9.6,4.15,11.0,2,15.8,,4.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,False,MIR,alta,1.146,5,False,Provável
94968,Juninho Capixaba,280,RBB,2,Lateral,7,15.02,1.58,9.06,8,14.0,4.0,18.0,13.0,4.0,10.0,2.0,1.0,3.0,2.0,,,,,,1.0,,,,,,False,MIR,alta,0.603,45,False,Provável
93882,Cleiton,280,RBB,1,Goleiro,2,6.19,0.0,2.56,7,0.0,1.0,,,,,,,2.0,,,,,,,,13.0,8.0,,,,False,MIR,estavel,0.414,24,False,Dúvida
111246,Alix Vinicius,280,RBB,3,Zagueiro,7,5.7,1.31,2.36,7,7.7,2.0,7.0,16.0,1.0,,,,3.0,,,,,,,,,,1.0,,,False,MIR,alta,0.414,63,False,Provável
108133,Isidro Pitta,280,RBB,5,Atacante,7,5.0,1.63,1.57,8,10.5,,1.0,9.0,7.0,2.0,,3.0,,1.0,5.0,1.0,,,,,,,,,,False,MIR,alta,0.314,98,True,Provável
110750,Gustavo Marques,280,RBB,3,Zagueiro,7,7.87,0.5,5.44,7,7.0,,11.0,4.0,3.0,6.0,,2.0,3.0,,,,,,,,,,,,,False,MIR,estavel,0.691,13,False,Provável
112886,Lucas Barbosa,280,RBB,5,Atacante,7,9.85,-0.14,6.09,8,11.0,3.0,14.0,21.0,6.0,16.0,,7.0,,2.0,2.0,,,,,,,,,,,False,MIR,estavel,0.618,29,False,Provável
113157,Nathan Mendes,287,VIT,2,Lateral,7,5.59,-1.26,4.22,6,1.2,2.0,11.0,9.0,,7.0,,,2.0,,,,,,,,,,,,,False,CHA,baixa,0.755,18,False,Provável
110715,Andrés Hurtado,280,RBB,2,Lateral,2,5.63,0.88,3.21,8,6.0,2.0,5.0,5.0,5.0,3.0,,1.0,3.0,,,,,,,,,,,,,False,MIR,alta,0.57,50,False,Dúvida
124239,Henry Mosquera,280,RBB,5,Atacante,7,6.2,0.27,3.9,9,8.4,1.0,7.0,8.0,11.0,7.0,2.0,5.0,,,3.0,,,,,,,,,,,False,MIR,estavel,0.629,26,False,Provável
39656,Alan Franco,282,CAM,4,Meia,7,5.46,0.0,3.01,8,0.0,2.0,12.0,12.0,3.0,4.0,1.0,2.0,,,1.0,,,,,,,,,,,True,CAP,estavel,0.551,49,False,Provável
122394,Gustavinho,280,RBB,4,Meia,7,6.3,-0.68,3.84,8,-0.8,1.0,13.0,13.0,1.0,5.0,,4.0,,1.0,,,,,,,,,,,,False,MIR,baixa,0.61,33,False,Provável
98909,Cuello,282,CAM,5,Atacante,7,11.0,3.0,6.68,9,19.4,,17.0,9.0,5.0,12.0,1.0,1.0,,2.0,9.0,,,,,2.0,,,,,,True,CAP,alta,0.607,30,False,Provável
87999,Gustavo Scarpa,282,CAM,4,Meia,2,6.67,0.16,2.35,8,4.3,,2.0,1.0,4.0,5.0,1.0,2.0,,,,,,,,1.0,,,,,,True,CAP,estavel,0.352,119,False,Dúvida
118774,Alexsander,282,CAM,4,Meia,7,7.14,0.0,1.7,1,0.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,True,CAP,estavel,0.238,146,False,Provável
107554,Natanael,282,CAM,2,Lateral,2,9.83,4.67,7.45,2,17.7,,4.0,3.0,1.0,4.0,1.0,,1.0,,,,,,,,,,1.0,,,True,CAP,alta,0.758,17,False,Dúvida
100842,Ruan,282,CAM,3,Zagueiro,7,6.33,1.2,3.64,8,9.2,4.0,8.0,9.0,1.0,10.0,,,2.0,1.0,,,,,,,,,,,,True,CAP,alta,0.575,30,False,Provável
92087,Lyanco,282,CAM,3,Zagueiro,2,11.97,1.75,7.75,2,10.5,,3.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,True,CAP,alta,0.647,20,False,Dúvida
77485,Carrillo,264,COR,4,Meia,7,5.07,0.0,1.6,6,0.0,2.0,9.0,15.0,2.0,2.0,,,,,,,,,,,,,,,,True,INT,estavel,0.316,130,False,Provável
105068,Reinier,282,CAM,4,Meia,2,6.12,2.83,3.28,8,16.0,,2.0,4.0,2.0,4.0,1.0,4.0,,1.0,,,,,,1.0,,,,,,True,CAP,alta,0.536,53,False,Dúvida
88312,Junior Alonso,282,CAM,3,Zagueiro,2,6.04,0.0,3.32,6,0.0,1.0,9.0,3.0,1.0,5.0,,,1.0,,,,,,,,,,,,,True,CAP,estavel,0.55,37,False,Dúvida
111831,Matheus Martins,263,BOT,5,Atacante,7,5.86,-0.58,2.99,7,2.0,1.0,5.0,2.0,2.0,6.0,,2.0,,1.0,,,,,,,,,,,,False,VAS,baixa,0.51,52,False,Provável
125467,Viery,284,GRE,3,Zagueiro,7,3.33,-0.09,1.87,6,1.7,2.0,6.0,9.0,,6.0,,,1.0,,1.0,,,1.0,,,,,,,,True,REM,estavel,0.562,32,False,Provável
101002,Júnior Santos,263,BOT,5,Atacante,2,6.03,1.72,2.97,4,9.4,,1.0,1.0,,3.0,,1.0,,1.0,,,,,,,,,,,,False,VAS,alta,0.493,53,False,Dúvida
72460,Bernard,282,CAM,4,Meia,7,5.27,1.57,2.18,6,9.2,,2.0,2.0,,3.0,,1.0,,1.0,,,,,,,,,,,,True,CAP,alta,0.414,91,False,Provável
78248,Gustavo Henrique,264,COR,3,Zagueiro,7,8.22,-0.64,2.97,6,-0.3,2.0,7.0,6.0,4.0,3.0,,2.0,1.0,,,,,1.0,,,,,,,,True,INT,baixa,0.361,68,False,Provável
95556,Raniele,264,COR,4,Meia,7,7.71,0.0,3.5,6,0.0,3.0,14.0,10.0,2.0,9.0,,,,,1.0,,,,,,,,,,,True,INT,estavel,0.454,81,False,Provável
98720,Angileri,264,COR,2,Lateral,7,4.2,-0.46,2.05,4,1.5,2.0,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,True,INT,estavel,0.488,64,False,Provável
101574,Hugo Souza,264,COR,1,Goleiro,7,9.71,0.0,4.74,7,0.0,1.0,,,,1.0,,,2.0,,,,,1.0,,,19.0,7.0,,,1.0,True,INT,estavel,0.488,17,False,Provável
