atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_DE,scout_FS,scout_GS,scout_SG,scout_CA,scout_DS,scout_FC,scout_I,scout_FD,scout_FF,scout_FT,scout_PC,scout_A,scout_G,scout_PP,scout_PS,scout_CV,scout_V,scout_DP,scout_GC
107873,Bobadilla,276,SAO,4,Meia,7,8.8,-1.39,4.42,6,2.2,,1.0,,,1.0,11.0,6.0,1.0,3.0,1.0,1.0,,1.0,,,,,,,
101290,Ferreira,276,SAO,5,Atacante,6,6.26,-1.03,1.33,3,0.0,,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
105300,Ferraresi,263,BOT,3,Zagueiro,7,7.24,-0.33,2.97,3,2.7,,,,1.0,,3.0,2.0,,,,,,,,,,,,,
131617,André Silva,276,SAO,5,Atacante,6,6.66,-0.84,0.5,2,0.0,,2.0,,,,,,,,,,,,,,,,,,
141611,Maik,276,SAO,2,Lateral,6,6.23,0.0,4.03,3,0.0,,1.0,,1.0,,5.0,3.0,,,,,,,,,,,,,
140542,Ryan Francisco,276,SAO,5,Atacante,5,5.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
108588,Tapia,276,SAO,5,Atacante,6,5.47,0.0,2.68,4,0.0,,1.0,,,,3.0,5.0,,,4.0,1.0,,,,,1.0,,,,
113359,Pablo Maia,276,SAO,4,Meia,6,4.4,-0.03,1.22,6,0.5,,2.0,,,1.0,5.0,6.0,,,2.0,,,,,,,,,,
106028,Coronel,276,SAO,1,Goleiro,6,5.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
97095,Carlos Cuesta,267,VAS,3,Zagueiro,6,6.0,0.0,0.7,3,0.0,,1.0,,,,3.0,5.0,,,2.0,,,,,,,,,,1.0
118563,Rodriguinho,280,RBB,4,Meia,6,5.73,-0.72,4.0,2,0.4,,4.0,,,1.0,,3.0,1.0,,,,,,1.0,,,,,,
81091,Jair,267,VAS,4,Meia,6,6.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
117818,Young,276,SAO,1,Goleiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
141609,Lucca,276,SAO,5,Atacante,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
93716,Paulo Henrique,267,VAS,2,Lateral,7,9.01,-1.63,4.37,4,0.6,,8.0,,,1.0,6.0,5.0,,1.0,1.0,,,1.0,,,,,,,
86410,Victor Luis,2305,MIR,2,Lateral,6,4.12,0.12,1.3,1,1.3,,1.0,,,,,,,,1.0,,,,,,,,,,
90309,David,267,VAS,5,Atacante,7,4.17,-0.82,1.7,4,0.4,,2.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,
95936,Daniel Fuzato,267,VAS,1,Goleiro,6,2.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
71123,Thiago Mendes,267,VAS,4,Meia,7,7.86,0.0,4.16,5,0.0,,12.0,,,3.0,7.0,5.0,,,1.0,,,,1.0,,,,,,
99198,Vegetti,267,VAS,5,Atacante,6,11.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
115141,Lucas Freitas,267,VAS,3,Zagueiro,6,3.61,-0.39,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,
86686,Tchê Tchê,267,VAS,4,Meia,7,4.45,-0.23,0.4,3,1.2,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,
116706,Andrés Gómez,267,VAS,5,Atacante,7,11.7,-0.8,7.87,6,4.7,,12.0,,,2.0,14.0,10.0,2.0,7.0,5.0,1.0,,2.0,,,,,,,
118752,Mateus Carvalho,267,VAS,4,Meia,5,4.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
92696,Renato Kayzer,287,VIT,5,Atacante,7,8.84,1.21,5.73,3,6.9,,2.0,,,,,5.0,3.0,1.0,1.0,,,,2.0,,,,,,
111682,Adson,267,VAS,4,Meia,6,6.52,0.0,3.1,1,0.0,,,,,,1.0,,,,2.0,,,,,,,,,,
90588,Caíque,287,VIT,4,Meia,2,4.4,-0.69,1.38,4,0.2,,3.0,,,1.0,4.0,6.0,,,1.0,,,,,,,,,,
105584,Lucas Piton,267,VAS,2,Lateral,6,5.04,-0.41,1.12,6,0.0,,,,,,3.0,2.0,,1.0,2.0,,,,,,,,,,
101594,Hugo Moura,267,VAS,4,Meia,7,3.8,0.03,1.6,3,2.3,,2.0,,,,2.0,,,,1.0,,,,,,,,,,
117330,Robert Renan,267,VAS,3,Zagueiro,7,5.31,-0.05,1.73,6,1.5,,3.0,,,,7.0,8.0,,,1.0,,,,,,,,,,
130414,Robert,315,CHA,4,Meia,5,3.51,0.0,3.0,1,0.0,,,,,,2.0,,,,,,,,,,,,,,
42222,Osvaldo,287,VIT,5,Atacante,6,4.37,0.0,0.8,1,0.0,,,,,,,,,,1.0,,,,,,,,,,
